config_id,side,lookback_col,top_pct,rebalance_days,sharpe,sortino,max_dd,calmar,cagr,turnover,error
lo_014,long_short,mom_63d,0.15,21,-0.05223306412239391,-0.047894359856585085,-0.6362828361641581,-0.03895060747527467,-0.024783602994684628,0.09166548384693345,
lo_015,long_short,mom_63d,0.15,42,-0.15447824978524552,-0.14002656525665327,-0.713498656850206,-0.061130405651343256,-0.04361646232494165,0.06386943351160665,
lo_016,long_short,mom_63d,0.15,63,0.06437793073180813,0.06015120005127696,-0.5188717985390848,-0.005378019222274437,-0.0027905025064393074,0.050904108672478354,
lo_017,long_short,mom_63d,0.15,126,0.2667041023139173,0.2558009355248172,-0.4514376659079049,0.06357682218258089,0.02870097221194623,0.0252598417632914,
lo_018,long_short,mom_63d,0.2,5,-0.2749141172338417,-0.25146086981827737,-0.7416677485981364,-0.07853806622066037,-0.05824915075312853,0.1714914401629804,
lo_019,long_short,mom_63d,0.2,10,-0.2067365095668417,-0.18945126670341253,-0.6898701699745319,-0.06670283740864125,-0.0460162977808829,0.12210143162049723,
lo_020,long_short,mom_63d,0.2,21,-0.0874275694830877,-0.07955878389300759,-0.6040832635142932,-0.04378227469893288,-0.026448139384210645,0.08529767768288025,
lo_021,long_short,mom_63d,0.2,42,-0.19008868917049654,-0.17234541977680967,-0.6910728234660254,-0.06331714224235815,-0.04375675626322639,0.059978125912377514,
lo_022,long_short,mom_63d,0.2,63,0.003454191767071594,0.0032095432618564697,-0.5079308245818202,-0.020457603673223693,-0.010391047502708584,0.048688758698341134,
lo_023,long_short,mom_63d,0.2,126,0.2601958775008315,0.2485455366434146,-0.4383231169273385,0.059643025914243246,0.026142917021709122,0.02397743567313737,
lo_024,long_short,mom_63d,0.3,5,-0.26794577936875447,-0.2442067351759655,-0.6637387570344495,-0.0687936168603733,-0.04566098974680832,0.14328918750756445,
lo_025,long_short,mom_63d,0.3,10,-0.18795194859217093,-0.17228377652338142,-0.5916728544086922,-0.05716645064563302,-0.033823837029915316,0.10319647964366437,
lo_026,long_short,mom_63d,0.3,21,-0.04590515373127497,-0.04224141239104398,-0.48362344294915816,-0.030597016533541268,-0.014797434479923544,0.07225747882949903,
lo_027,long_short,mom_63d,0.3,42,-0.1953782821122138,-0.17845069425141988,-0.6193647099678421,-0.056302495798952065,-0.03487177898098359,0.052510808183638874,
lo_028,long_short,mom_63d,0.3,63,-0.010806431636146729,-0.010080593355018357,-0.44691194355663366,-0.019862887117098414,-0.008876961486148471,0.04352188248355136,
lo_029,long_short,mom_63d,0.3,126,0.2806767742908041,0.26989186646254115,-0.3386657285051612,0.07395773316707276,0.025046949581617017,0.021366993582531316,
lo_030,long_short,mom_126d,0.05,5,0.13642862715143747,0.12771856634420337,-0.6451750423825814,-0.0024620774721469895,-0.0015884709374416328,0.16119452206408727,
lo_031,long_short,mom_126d,0.05,10,0.1796496204696375,0.16845704717052448,-0.6124683136324389,0.01776882875568989,0.010882844583220974,0.11316126855926188,
